Temperature,Magnetization,Energy,Susceptibility,SpecificHeat,BinderCumulant
1.000000e+00,9.992428e-01,-1.989342e+00,5.988281e+00,1.671875e+00,6.666691e-01
1.100000e+00,9.984323e-01,-1.986149e+00,2.702415e+00,-2.582645e-01,6.666734e-01
1.200000e+00,9.970245e-01,-1.980792e+00,9.244791e-01,3.689236e-01,6.666762e-01
1.300000e+00,9.947643e-01,-1.972451e+00,2.463942e-01,2.126479e+00,6.666665e-01
1.400000e+00,9.913869e-01,-1.960383e+00,5.022321e-01,1.514668e+00,6.666723e-01
1.500000e+00,9.864962e-01,-1.943464e+00,-9.895833e-02,2.402777e+00,6.666650e-01
1.600000e+00,9.796159e-01,-1.920686e+00,3.662109e-02,2.313232e+00,6.666659e-01
1.700000e+00,9.700912e-01,-1.890829e+00,1.562500e-01,3.022274e+00,6.666646e-01
1.800000e+00,9.569058e-01,-1.852435e+00,6.944444e-02,3.944829e+00,6.666613e-01
1.900000e+00,9.382641e-01,-1.802541e+00,3.885690e-01,4.484071e+00,6.666602e-01
2.000000e+00,9.113094e-01,-1.738847e+00,2.988281e-01,4.996093e+00,6.666464e-01
2.100000e+00,8.687443e-01,-1.655672e+00,8.928571e-01,5.590985e+00,6.666125e-01
2.200000e+00,7.847945e-01,-1.540348e+00,4.760298e+00,5.985279e+00,6.663195e-01
2.300000e+00,1.283834e-01,-1.337225e+00,2.520470e+02,6.130376e+00,7.513922e-02
2.400000e+00,3.938266e-02,-1.199493e+00,2.391264e+01,5.474176e+00,8.980155e-03
2.500000e+00,2.472513e-02,-1.101461e+00,9.322053e+00,4.866251e+00,-2.463198e-02
2.600000e+00,1.884431e-02,-1.024493e+00,4.950045e+00,4.623938e+00,1.496261e-02
2.700000e+00,1.518152e-02,-9.599178e-01,3.207597e+00,4.268477e+00,-8.604765e-03
2.799999e+00,1.310548e-02,-9.043720e-01,2.318841e+00,4.071669e+00,-4.223585e-03
2.899999e+00,1.168543e-02,-8.565235e-01,1.782720e+00,3.808712e+00,-1.063681e-02
2.999999e+00,1.063398e-02,-8.138184e-01,1.397878e+00,3.652345e+00,1.722574e-05
