Temperature,Magnetization,Energy,Susceptibility,SpecificHeat,BinderCumulant
1.79999995e+00,9.55273449e-01,-1.85234380e+00,2.58043092e-02,7.70353310e-08,6.66600585e-01
1.89999998e+00,9.35742199e-01,-1.79765630e+00,2.37844378e-01,7.35383651e-07,6.65991366e-01
2.00000000e+00,9.00976539e-01,-1.71445310e+00,3.34442139e-01,7.72997737e-07,6.65596008e-01
2.09999990e+00,8.34179699e-01,-1.64687502e+00,3.45996690e+00,9.15800683e-07,6.55172467e-01
2.19999981e+00,7.80859351e-01,-1.53945315e+00,2.62318039e+00,1.37831910e-06,6.54803395e-01
2.29999971e+00,5.99218726e-01,-1.37500000e+00,2.17020473e+01,1.78306948e-06,5.80676317e-01
2.39999962e+00,3.58984381e-01,-1.24531245e+00,1.74501324e+01,1.44088256e-06,3.94427299e-01
2.49999952e+00,1.84570312e-01,-1.08242190e+00,8.19633007e+00,7.89370688e-07,2.25819349e-01
2.59999943e+00,1.38867185e-01,-1.00898433e+00,4.26996756e+00,9.38642017e-07,3.38460505e-01
2.69999933e+00,1.09375000e-01,-9.38671887e-01,2.66059089e+00,7.21982929e-07,-1.75989866e-02
